name,value,year,lastValue,rank
Apple,214480,2018,211447.400000003,1
Apple,211447.400000003,2017.9,208414.799999999,1
Apple,208414.799999999,2017.8,205382.200000001,1
Apple,205382.200000001,2017.7,202349.599999997,1
Apple,202349.599999997,2017.6,199317,1
Apple,199317,2017.5,196284.400000003,1
Apple,196284.400000003,2017.4,193251.799999999,1
Apple,193251.799999999,2017.3,190219.200000001,1
Apple,190219.200000001,2017.2,187186.599999997,1
Apple,187186.599999997,2017.1,184154,1
Apple,184154,2017,183550.500000001,1
Apple,183550.500000001,2016.9,182947,1
Apple,182947,2016.8,182343.5,1
Apple,182343.5,2016.7,181739.999999999,1
Apple,181739.999999999,2016.6,181136.5,1
Apple,181136.5,2016.5,180533.000000001,1
Apple,180533.000000001,2016.4,179929.5,1
Apple,179929.5,2016.3,179326,1
Apple,179326,2016.2,178722.499999999,1
Apple,178722.499999999,2016.1,178119,1
Apple,178119,2016,177334.700000001,1
Apple,177334.700000001,2015.9,176550.4,1
Apple,176550.4,2015.8,175766.1,1
Apple,175766.1,2015.7,174981.799999999,1
Apple,174981.799999999,2015.6,174197.5,1
Apple,174197.5,2015.5,173413.200000001,1
Apple,173413.200000001,2015.4,172628.9,1
Apple,172628.9,2015.3,171844.6,1
Apple,171844.6,2015.2,171060.299999999,1
Apple,171060.299999999,2015.1,170276,1
Apple,170276,2015,165134.700000005,1
Apple,165134.700000005,2014.9,159993.399999998,1
Apple,159993.399999998,2014.8,154852.100000002,1
Google,155506,2018,154125.700000001,2
Apple,154852.100000002,2014.7,149710.799999995,1
Google,154125.700000001,2017.9,152745.399999999,2
Google,152745.399999999,2017.8,151365.100000001,2
Google,151365.100000001,2017.7,149984.799999999,2
Google,149984.799999999,2017.6,148604.5,2
Apple,149710.799999995,2014.6,144569.5,1
Google,148604.5,2017.5,147224.200000001,2
Google,147224.200000001,2017.4,145843.899999999,2
Google,145843.899999999,2017.3,144463.600000001,2
Apple,144569.5,2014.5,139428.200000005,1
Google,144463.600000001,2017.2,143083.299999999,2
Google,143083.299999999,2017.1,141703,2
Google,141703,2017,140857.900000001,2
Google,140857.900000001,2016.9,140012.8,2
Google,140012.8,2016.8,139167.7,2
Apple,139428.200000005,2014.4,134286.899999998,1
Google,139167.7,2016.7,138322.599999999,2
Google,138322.599999999,2016.6,137477.5,2
Google,137477.5,2016.5,136632.400000001,2
Google,136632.400000001,2016.4,135787.3,2
Google,135787.3,2016.3,134942.2,2
Google,134942.2,2016.2,134097.099999999,2
Apple,134286.899999998,2014.3,129145.600000002,1
Google,134097.099999999,2016.1,133252,2
Google,133252,2016,131958.200000001,2
Google,131958.200000001,2015.9,130664.399999999,2
Google,130664.399999999,2015.8,129370.600000001,2
Google,129370.600000001,2015.7,128076.799999999,2
Apple,129145.600000002,2014.2,124004.299999995,1
Google,128076.799999999,2015.6,126783,2
Google,126783,2015.5,125489.200000001,2
Google,125489.200000001,2015.4,124195.399999999,2
Google,124195.399999999,2015.3,122901.600000001,2
Apple,124004.299999995,2014.1,118863,1
Google,122901.600000001,2015.2,121607.799999999,2
Google,121607.799999999,2015.1,120314,2
Google,120314,2015,119026.500000001,2
Google,119026.500000001,2014.9,117738.999999999,2
Apple,118863,2014,116808.300000002,1
Google,117738.999999999,2014.8,116451.500000001,2
Apple,116808.300000002,2013.9,114753.599999999,1
Google,116451.500000001,2014.7,115163.999999999,2
Google,115163.999999999,2014.6,113876.5,2
Apple,114753.599999999,2013.8,112698.900000001,1
Google,113876.5,2014.5,112589.000000001,2
Apple,112698.900000001,2013.7,110644.199999998,1
Google,112589.000000001,2014.4,111301.499999999,2
Google,111301.499999999,2014.3,110014.000000001,2
Apple,110644.199999998,2013.6,108589.5,1
Google,110014.000000001,2014.2,108726.499999999,2
Google,108726.499999999,2014.1,107439,2
Apple,108589.5,2013.5,106534.800000002,1
Google,107439,2014,106024.200000001,2
Apple,106534.800000002,2013.4,104480.099999999,1
Google,106024.200000001,2013.9,104609.399999999,2
Google,104609.399999999,2013.8,103194.600000001,2
Apple,104480.099999999,2013.3,102425.400000001,1
Google,103194.600000001,2013.7,101779.799999999,2
Apple,102425.400000001,2013.2,100370.699999998,1
Google,101779.799999999,2013.6,100365,2
Amazon,100764,2018,97167.2000000033,3
Apple,100370.699999998,2013.1,98316,1
Google,100365,2013.5,98950.2000000013,2
Google,98950.2000000013,2013.4,97535.3999999994,2
Apple,98316,2013,96141.200000002,1
Google,97535.3999999994,2013.3,96120.6000000006,2
Amazon,97167.2000000033,2017.9,93570.3999999984,3
Apple,96141.200000002,2012.9,93966.399999999,1
Google,96120.6000000006,2013.2,94705.7999999987,2
Google,94705.7999999987,2013.1,93291,2
Apple,93966.399999999,2012.8,91791.600000001,1
Amazon,93570.3999999984,2017.8,89973.6000000016,3
Google,93291,2013,90934.5000000021,2
Microsoft,92715,2018,91443.4000000012,4
Apple,91791.600000001,2012.7,89616.799999998,1
Microsoft,91443.4000000012,2017.9,90171.7999999994,4
Google,90934.5000000021,2012.9,88577.9999999989,2
Microsoft,90171.7999999994,2017.8,88900.2000000006,4
Amazon,89973.6000000016,2017.7,86376.7999999967,3
Apple,89616.799999998,2012.6,87442,1
Microsoft,88900.2000000006,2017.7,87628.5999999988,4
Google,88577.9999999989,2012.8,86221.5000000011,2
Microsoft,87628.5999999988,2017.6,86357,3
Apple,87442,2012.5,85267.200000002,1
Amazon,86376.7999999967,2017.6,82780,4
Microsoft,86357,2017.5,85085.4000000012,3
Google,86221.5000000011,2012.7,83864.9999999979,2
Apple,85267.200000002,2012.4,83092.399999999,1
Microsoft,85085.4000000012,2017.4,83813.7999999994,3
Google,83864.9999999979,2012.6,81508.5,2
Microsoft,83813.7999999994,2017.3,82542.2000000006,3
Apple,83092.399999999,2012.3,80917.600000001,1
Amazon,82780,2017.5,79183.2000000033,4
Microsoft,82542.2000000006,2017.2,81270.5999999988,3
Coca-Cola,81563,2014,81328.0000000002,3
Google,81508.5,2012.5,79152.0000000021,2
Coca-Cola,81328.0000000002,2013.9,81092.9999999999,3
Microsoft,81270.5999999988,2017.1,79999,3
Coca-Cola,81249.0000000003,2014.1,81563,3
Coca-Cola,81092.9999999999,2013.8,80858.0000000001,3
Coca-Cola,80934.9999999999,2014.2,81249.0000000003,3
Apple,80917.600000001,2012.2,78742.799999998,1
Coca-Cola,80858.0000000001,2013.7,80622.9999999998,3
Coca-Cola,80622.9999999998,2013.6,80388,3
Coca-Cola,80621.0000000001,2014.3,80934.9999999999,3
Coca-Cola,80388,2013.5,80153.0000000002,3
Coca-Cola,80306.9999999997,2014.4,80621.0000000001,3
Coca-Cola,80153.0000000002,2013.4,79917.9999999999,3
Microsoft,79999,2017,79278.6000000007,3
Coca-Cola,79993,2014.5,80306.9999999997,3
Coca-Cola,79917.9999999999,2013.3,79683.0000000001,3
Coca-Cola,79683.0000000001,2013.2,79447.9999999998,3
Coca-Cola,79679.0000000003,2014.6,79993,3
Coca-Cola,79447.9999999998,2013.1,79213,3
Coca-Cola,79364.9999999999,2014.7,79679.0000000003,3
Microsoft,79278.6000000007,2016.9,78558.1999999997,3
Coca-Cola,79213,2013,79075.6000000001,3
Amazon,79183.2000000033,2017.4,75586.3999999984,4
Google,79152.0000000021,2012.4,76795.4999999989,2
Coca-Cola,79075.6000000001,2012.9,78938.1999999999,3
Coca-Cola,79051.0000000001,2014.8,79364.9999999999,3
Coca-Cola,78938.1999999999,2012.8,78800.8000000001,3
IBM,78808,2013,78480.4000000003,4
Coca-Cola,78800.8000000001,2012.7,78663.3999999999,3
Apple,78742.799999998,2012.1,76568,1
Coca-Cola,78736.9999999997,2014.9,79051.0000000001,3
Coca-Cola,78663.3999999999,2012.6,78526,3
Microsoft,78558.1999999997,2016.8,77837.8000000003,3
Coca-Cola,78526,2012.5,78388.6000000001,3
IBM,78480.4000000003,2012.9,78152.7999999999,4
Coca-Cola,78423,2015,78736.9999999997,3
Coca-Cola,78388.6000000001,2012.4,78251.1999999999,3
Coca-Cola,78251.1999999999,2012.3,78113.8000000001,2
IBM,78152.7999999999,2012.8,77825.2000000001,4
IBM,78151.6000000006,2013.1,78808,4
Coca-Cola,78113.8000000001,2012.2,77976.3999999999,2
Coca-Cola,77976.3999999999,2012.1,77839,2
Coca-Cola,77890.9000000005,2015.1,78423,3
Coca-Cola,77839,2012,77241.2000000006,1
Microsoft,77837.8000000003,2016.7,77117.3999999993,3
IBM,77825.2000000001,2012.7,77497.5999999997,4
IBM,77497.5999999997,2012.6,77170,4
IBM,77495.1999999997,2013.2,78151.6000000006,4
Coca-Cola,77358.7999999998,2015.2,77890.9000000005,3
Coca-Cola,77241.2000000006,2011.9,76643.3999999997,1
IBM,77170,2012.5,76842.4000000003,4
Microsoft,77117.3999999993,2016.6,76397,3
IBM,76842.4000000003,2012.4,76514.7999999999,4
IBM,76838.8000000003,2013.3,77495.1999999997,4
Coca-Cola,76826.7000000002,2015.3,77358.7999999998,3
Google,76795.4999999989,2012.3,74439.0000000011,3
Coca-Cola,76643.3999999997,2011.8,76045.6000000003,1
Apple,76568,2012,72260.4000000039,2
IBM,76514.7999999999,2012.3,76187.2000000001,4
Microsoft,76397,2016.5,75676.6000000007,3
Coca-Cola,76294.5999999995,2015.4,76826.7000000002,3
IBM,76187.2000000001,2012.2,75859.5999999997,3
IBM,76182.3999999994,2013.4,76838.8000000003,4
Coca-Cola,76045.6000000003,2011.7,75447.7999999994,1
IBM,75859.5999999997,2012.1,75532,3
Coca-Cola,75762.5,2015.5,76294.5999999995,3
Microsoft,75676.6000000007,2016.4,74956.1999999997,3
Amazon,75586.3999999984,2017.3,71989.6000000016,4
IBM,75532,2012,74969.3000000005,3
IBM,75526,2013.5,76182.3999999994,4
Coca-Cola,75447.7999999994,2011.6,74850,1
Coca-Cola,75230.4000000005,2015.6,75762.5,3
IBM,74969.3000000005,2011.9,74406.5999999997,2
Microsoft,74956.1999999997,2016.3,74235.8000000003,3
IBM,74869.6000000006,2013.6,75526,4
Coca-Cola,74850,2011.5,74252.2000000006,1
Coca-Cola,74698.2999999998,2015.7,75230.4000000005,3
Google,74439.0000000011,2012.2,72082.4999999979,4
IBM,74406.5999999997,2011.8,73843.9000000003,2
Coca-Cola,74252.2000000006,2011.4,73654.3999999997,1
Microsoft,74235.8000000003,2016.2,73515.3999999993,3
IBM,74213.1999999997,2013.7,74869.6000000006,4
Coca-Cola,74166.2000000002,2015.8,74698.2999999998,3
IBM,73843.9000000003,2011.7,73281.1999999995,2
Coca-Cola,73654.3999999997,2011.3,73056.6000000003,1
Coca-Cola,73634.0999999995,2015.9,74166.2000000002,3
IBM,73556.8000000003,2013.8,74213.1999999997,4
Microsoft,73515.3999999993,2016.1,72795,3
IBM,73281.1999999995,2011.6,72718.5,2
Coca-Cola,73102,2016,73634.0999999995,3
Coca-Cola,73056.6000000003,2011.2,72458.7999999994,1
IBM,72900.3999999994,2013.9,73556.8000000003,4
Microsoft,72795,2016,72282.5000000005,4
Coca-Cola,72765.1000000003,2016.1,73102,4
IBM,72718.5,2011.5,72155.8000000005,2
Coca-Cola,72537,2000,72537,1
Coca-Cola,72458.7999999994,2011.1,71861,1
Coca-Cola,72428.1999999999,2016.2,72765.1000000003,4
Microsoft,72282.5000000005,2015.9,71769.9999999998,4
Apple,72260.4000000039,2011.9,67952.799999998,3
IBM,72244,2014,72900.3999999994,4
Coca-Cola,72177.8000000003,2000.1,72537,1
IBM,72155.8000000005,2011.4,71593.0999999997,2
Coca-Cola,72091.3000000001,2016.3,72428.1999999999,4
Google,72082.4999999979,2012.1,69726,4
Amazon,71989.6000000016,2017.2,68392.7999999967,4
Coca-Cola,71861,2011,71720.1000000001,1
Coca-Cola,71818.5999999998,2000.2,72177.8000000003,1
Microsoft,71769.9999999998,2015.8,71257.5000000002,4
Coca-Cola,71754.3999999997,2016.4,72091.3000000001,4
Coca-Cola,71720.1000000001,2010.9,71579.1999999999,1
IBM,71593.0999999997,2011.3,71030.4000000003,2
Coca-Cola,71579.1999999999,2010.8,71438.3000000001,1
IBM,71529.1000000006,2014.1,72244,4
Coca-Cola,71459.4000000002,2000.3,71818.5999999998,1
Coca-Cola,71438.3000000001,2010.7,71297.3999999999,1
Coca-Cola,71417.5,2016.5,71754.3999999997,4
Coca-Cola,71297.3999999999,2010.6,71156.5,1
Microsoft,71257.5000000002,2015.7,70744.9999999995,4
Coca-Cola,71156.5,2010.5,71015.6000000001,1
Coca-Cola,71100.1999999997,2000.4,71459.4000000002,1
Coca-Cola,71080.6000000003,2016.6,71417.5,4
IBM,71030.4000000003,2011.2,70467.6999999995,2
Coca-Cola,71015.6000000001,2010.4,70874.6999999999,1
Coca-Cola,70874.6999999999,2010.3,70733.8000000001,1